,ID,Start time,Completion time,Email,Name,Language,AlreadyUse,HasInterest,PossibleFunctions,Other,KnowYourName,Subtitles,Formal/informal,M/F/NB,Age,Gender
17,3,2022-02-10 17:22:48,2022-02-10 17:25:34,anonymous,,Dansk,Ja,Ja,Påmindelser (du vælger hvornår),Nej ,Ja,Ja,Familiært sprog,Mand,45-54,Mand
18,3,2022-02-10 17:22:48,2022-02-10 17:25:34,anonymous,,Dansk,Ja,Ja,Vækkeur (præcis klokkeslæt),Nej ,Ja,Ja,Familiært sprog,Mand,45-54,Mand
19,3,2022-02-10 17:22:48,2022-02-10 17:25:34,anonymous,,Dansk,Ja,Ja,Timer (om X minutter),Nej ,Ja,Ja,Familiært sprog,Mand,45-54,Mand
20,3,2022-02-10 17:22:48,2022-02-10 17:25:34,anonymous,,Dansk,Ja,Ja,Dagens nyheder,Nej ,Ja,Ja,Familiært sprog,Mand,45-54,Mand
21,3,2022-02-10 17:22:48,2022-02-10 17:25:34,anonymous,,Dansk,Ja,Ja,"""Fortæl mig en vittighed""",Nej ,Ja,Ja,Familiært sprog,Mand,45-54,Mand
22,3,2022-02-10 17:22:48,2022-02-10 17:25:34,anonymous,,Dansk,Ja,Ja,"Enhedskonvertering (valuta, vægt, osv.)",Nej ,Ja,Ja,Familiært sprog,Mand,45-54,Mand
23,3,2022-02-10 17:22:48,2022-02-10 17:25:34,anonymous,,Dansk,Ja,Ja,,Nej ,Ja,Ja,Familiært sprog,Mand,45-54,Mand
24,4,2022-02-10 17:22:17,2022-02-10 17:26:16,anonymous,,Dansk,Nej,Ja,Oversættelse til et valgfrit sprog (Google oversæt),At det er nemt at aktivere ,Nej,Ja,Familiært sprog,Ikke-binær,55-64,Kvinde
25,4,2022-02-10 17:22:17,2022-02-10 17:26:16,anonymous,,Dansk,Nej,Ja,Oprette notater / tekst filer som i dikterer,At det er nemt at aktivere ,Nej,Ja,Familiært sprog,Ikke-binær,55-64,Kvinde
26,4,2022-02-10 17:22:17,2022-02-10 17:26:16,anonymous,,Dansk,Nej,Ja,Sende emails,At det er nemt at aktivere ,Nej,Ja,Familiært sprog,Ikke-binær,55-64,Kvinde
27,4,2022-02-10 17:22:17,2022-02-10 17:26:16,anonymous,,Dansk,Nej,Ja,To-do liste,At det er nemt at aktivere ,Nej,Ja,Familiært sprog,Ikke-binær,55-64,Kvinde
28,4,2022-02-10 17:22:17,2022-02-10 17:26:16,anonymous,,Dansk,Nej,Ja,,At det er nemt at aktivere ,Nej,Ja,Familiært sprog,Ikke-binær,55-64,Kvinde
29,5,2022-02-10 17:27:24,2022-02-10 17:29:31,anonymous,,Dansk,Ja,Ja,Oversættelse til et valgfrit sprog (Google oversæt),Nej,Ja,Ja,Familiært sprog,Ikke-binær,45-54,Kvinde
30,5,2022-02-10 17:27:24,2022-02-10 17:29:31,anonymous,,Dansk,Ja,Ja,Oprette notater / tekst filer som i dikterer,Nej,Ja,Ja,Familiært sprog,Ikke-binær,45-54,Kvinde
31,5,2022-02-10 17:27:24,2022-02-10 17:29:31,anonymous,,Dansk,Ja,Ja,To-do liste,Nej,Ja,Ja,Familiært sprog,Ikke-binær,45-54,Kvinde
32,5,2022-02-10 17:27:24,2022-02-10 17:29:31,anonymous,,Dansk,Ja,Ja,Påmindelser (du vælger hvornår),Nej,Ja,Ja,Familiært sprog,Ikke-binær,45-54,Kvinde
33,5,2022-02-10 17:27:24,2022-02-10 17:29:31,anonymous,,Dansk,Ja,Ja,Vækkeur (præcis klokkeslæt),Nej,Ja,Ja,Familiært sprog,Ikke-binær,45-54,Kvinde
34,5,2022-02-10 17:27:24,2022-02-10 17:29:31,anonymous,,Dansk,Ja,Ja,Dagens nyheder,Nej,Ja,Ja,Familiært sprog,Ikke-binær,45-54,Kvinde
35,5,2022-02-10 17:27:24,2022-02-10 17:29:31,anonymous,,Dansk,Ja,Ja,,Nej,Ja,Ja,Familiært sprog,Ikke-binær,45-54,Kvinde
36,6,2022-02-10 17:27:37,2022-02-10 17:30:29,anonymous,,Dansk,Ja,Ja,Sende emails,Vejrudsigten,Ja,Nej,Familiært sprog,Ikke-binær,45-54,Kvinde
37,6,2022-02-10 17:27:37,2022-02-10 17:30:29,anonymous,,Dansk,Ja,Ja,Oplæse indkomne emails,Vejrudsigten,Ja,Nej,Familiært sprog,Ikke-binær,45-54,Kvinde
38,6,2022-02-10 17:27:37,2022-02-10 17:30:29,anonymous,,Dansk,Ja,Ja,Oprette notater / tekst filer som i dikterer,Vejrudsigten,Ja,Nej,Familiært sprog,Ikke-binær,45-54,Kvinde
39,6,2022-02-10 17:27:37,2022-02-10 17:30:29,anonymous,,Dansk,Ja,Ja,To-do liste,Vejrudsigten,Ja,Nej,Familiært sprog,Ikke-binær,45-54,Kvinde
40,6,2022-02-10 17:27:37,2022-02-10 17:30:29,anonymous,,Dansk,Ja,Ja,Påmindelser (du vælger hvornår),Vejrudsigten,Ja,Nej,Familiært sprog,Ikke-binær,45-54,Kvinde
41,6,2022-02-10 17:27:37,2022-02-10 17:30:29,anonymous,,Dansk,Ja,Ja,Vækkeur (præcis klokkeslæt),Vejrudsigten,Ja,Nej,Familiært sprog,Ikke-binær,45-54,Kvinde
42,6,2022-02-10 17:27:37,2022-02-10 17:30:29,anonymous,,Dansk,Ja,Ja,Timer (om X minutter),Vejrudsigten,Ja,Nej,Familiært sprog,Ikke-binær,45-54,Kvinde
43,6,2022-02-10 17:27:37,2022-02-10 17:30:29,anonymous,,Dansk,Ja,Ja,"""Fortæl mig en vittighed""",Vejrudsigten,Ja,Nej,Familiært sprog,Ikke-binær,45-54,Kvinde
44,6,2022-02-10 17:27:37,2022-02-10 17:30:29,anonymous,,Dansk,Ja,Ja,Dagens nyheder,Vejrudsigten,Ja,Nej,Familiært sprog,Ikke-binær,45-54,Kvinde
45,6,2022-02-10 17:27:37,2022-02-10 17:30:29,anonymous,,Dansk,Ja,Ja,Åbner programmer på din desktop,Vejrudsigten,Ja,Nej,Familiært sprog,Ikke-binær,45-54,Kvinde
46,6,2022-02-10 17:27:37,2022-02-10 17:30:29,anonymous,,Dansk,Ja,Ja,Matematiske beregninger,Vejrudsigten,Ja,Nej,Familiært sprog,Ikke-binær,45-54,Kvinde
47,6,2022-02-10 17:27:37,2022-02-10 17:30:29,anonymous,,Dansk,Ja,Ja,Oversættelse til et valgfrit sprog (Google oversæt),Vejrudsigten,Ja,Nej,Familiært sprog,Ikke-binær,45-54,Kvinde
48,6,2022-02-10 17:27:37,2022-02-10 17:30:29,anonymous,,Dansk,Ja,Ja,Informationssøgning på Google,Vejrudsigten,Ja,Nej,Familiært sprog,Ikke-binær,45-54,Kvinde
49,6,2022-02-10 17:27:37,2022-02-10 17:30:29,anonymous,,Dansk,Ja,Ja,,Vejrudsigten,Ja,Nej,Familiært sprog,Ikke-binær,45-54,Kvinde
50,7,2022-02-10 17:30:36,2022-02-10 17:31:30,anonymous,,English (United States)‎,Ja,Ja,Informationssøgning på Google,None,Ja,Ja,Familiært sprog,Ikke-binær,45-54,Mand
51,7,2022-02-10 17:30:36,2022-02-10 17:31:30,anonymous,,English (United States)‎,Ja,Ja,Informationssøgning på Wikipedia,None,Ja,Ja,Familiært sprog,Ikke-binær,45-54,Mand
52,7,2022-02-10 17:30:36,2022-02-10 17:31:30,anonymous,,English (United States)‎,Ja,Ja,Oversættelse til et valgfrit sprog (Google oversæt),None,Ja,Ja,Familiært sprog,Ikke-binær,45-54,Mand
53,7,2022-02-10 17:30:36,2022-02-10 17:31:30,anonymous,,English (United States)‎,Ja,Ja,Sende emails,None,Ja,Ja,Familiært sprog,Ikke-binær,45-54,Mand
54,7,2022-02-10 17:30:36,2022-02-10 17:31:30,anonymous,,English (United States)‎,Ja,Ja,Oprette notater / tekst filer som i dikterer,None,Ja,Ja,Familiært sprog,Ikke-binær,45-54,Mand
55,7,2022-02-10 17:30:36,2022-02-10 17:31:30,anonymous,,English (United States)‎,Ja,Ja,To-do liste,None,Ja,Ja,Familiært sprog,Ikke-binær,45-54,Mand
56,7,2022-02-10 17:30:36,2022-02-10 17:31:30,anonymous,,English (United States)‎,Ja,Ja,Påmindelser (du vælger hvornår),None,Ja,Ja,Familiært sprog,Ikke-binær,45-54,Mand
57,7,2022-02-10 17:30:36,2022-02-10 17:31:30,anonymous,,English (United States)‎,Ja,Ja,Vækkeur (præcis klokkeslæt),None,Ja,Ja,Familiært sprog,Ikke-binær,45-54,Mand
58,7,2022-02-10 17:30:36,2022-02-10 17:31:30,anonymous,,English (United States)‎,Ja,Ja,Timer (om X minutter),None,Ja,Ja,Familiært sprog,Ikke-binær,45-54,Mand
59,7,2022-02-10 17:30:36,2022-02-10 17:31:30,anonymous,,English (United States)‎,Ja,Ja,"""Fortæl mig en vittighed""",None,Ja,Ja,Familiært sprog,Ikke-binær,45-54,Mand
60,7,2022-02-10 17:30:36,2022-02-10 17:31:30,anonymous,,English (United States)‎,Ja,Ja,Åbner programmer på din desktop,None,Ja,Ja,Familiært sprog,Ikke-binær,45-54,Mand
61,7,2022-02-10 17:30:36,2022-02-10 17:31:30,anonymous,,English (United States)‎,Ja,Ja,Matematiske beregninger,None,Ja,Ja,Familiært sprog,Ikke-binær,45-54,Mand
62,7,2022-02-10 17:30:36,2022-02-10 17:31:30,anonymous,,English (United States)‎,Ja,Ja,"Enhedskonvertering (valuta, vægt, osv.)",None,Ja,Ja,Familiært sprog,Ikke-binær,45-54,Mand
63,7,2022-02-10 17:30:36,2022-02-10 17:31:30,anonymous,,English (United States)‎,Ja,Ja,Dagens nyheder,None,Ja,Ja,Familiært sprog,Ikke-binær,45-54,Mand
64,7,2022-02-10 17:30:36,2022-02-10 17:31:30,anonymous,,English (United States)‎,Ja,Ja,,None,Ja,Ja,Familiært sprog,Ikke-binær,45-54,Mand
65,8,2022-02-10 17:29:13,2022-02-10 17:32:15,anonymous,,Dansk,Ja,Ja,Oprette notater / tekst filer som i dikterer,"Indtale tekst på et sprog, skrive/oversætte til et andet",Ja,Nej,Formelt sprog,Ikke-binær,45-54,Mand
66,8,2022-02-10 17:29:13,2022-02-10 17:32:15,anonymous,,Dansk,Ja,Ja,Oversættelse til et valgfrit sprog (Google oversæt),"Indtale tekst på et sprog, skrive/oversætte til et andet",Ja,Nej,Formelt sprog,Ikke-binær,45-54,Mand
67,8,2022-02-10 17:29:13,2022-02-10 17:32:15,anonymous,,Dansk,Ja,Ja,,"Indtale tekst på et sprog, skrive/oversætte til et andet",Ja,Nej,Formelt sprog,Ikke-binær,45-54,Mand
68,9,2022-02-10 17:30:13,2022-02-10 17:33:28,anonymous,,Dansk,Ja,Nej,Sende emails,Start div programmer.  Word og browser,Ja,Ja,Familiært sprog,Kvinde,25-34,Mand
69,9,2022-02-10 17:30:13,2022-02-10 17:33:28,anonymous,,Dansk,Ja,Nej,Informationssøgning på Google,Start div programmer.  Word og browser,Ja,Ja,Familiært sprog,Kvinde,25-34,Mand
70,9,2022-02-10 17:30:13,2022-02-10 17:33:28,anonymous,,Dansk,Ja,Nej,Oversættelse til et valgfrit sprog (Google oversæt),Start div programmer.  Word og browser,Ja,Ja,Familiært sprog,Kvinde,25-34,Mand
71,9,2022-02-10 17:30:13,2022-02-10 17:33:28,anonymous,,Dansk,Ja,Nej,Dagens nyheder,Start div programmer.  Word og browser,Ja,Ja,Familiært sprog,Kvinde,25-34,Mand
72,9,2022-02-10 17:30:13,2022-02-10 17:33:28,anonymous,,Dansk,Ja,Nej,Åbner programmer på din desktop,Start div programmer.  Word og browser,Ja,Ja,Familiært sprog,Kvinde,25-34,Mand
73,9,2022-02-10 17:30:13,2022-02-10 17:33:28,anonymous,,Dansk,Ja,Nej,,Start div programmer.  Word og browser,Ja,Ja,Familiært sprog,Kvinde,25-34,Mand
74,10,2022-02-10 17:32:08,2022-02-10 17:34:09,anonymous,,Dansk,Nej,Ja,Informationssøgning på Google,,Ja,Nej,Familiært sprog,Kvinde,55-64,Kvinde
75,10,2022-02-10 17:32:08,2022-02-10 17:34:09,anonymous,,Dansk,Nej,Ja,Oprette notater / tekst filer som i dikterer,,Ja,Nej,Familiært sprog,Kvinde,55-64,Kvinde
76,10,2022-02-10 17:32:08,2022-02-10 17:34:09,anonymous,,Dansk,Nej,Ja,To-do liste,,Ja,Nej,Familiært sprog,Kvinde,55-64,Kvinde
77,10,2022-02-10 17:32:08,2022-02-10 17:34:09,anonymous,,Dansk,Nej,Ja,Påmindelser (du vælger hvornår),,Ja,Nej,Familiært sprog,Kvinde,55-64,Kvinde
78,10,2022-02-10 17:32:08,2022-02-10 17:34:09,anonymous,,Dansk,Nej,Ja,Åbner programmer på din desktop,,Ja,Nej,Familiært sprog,Kvinde,55-64,Kvinde
79,10,2022-02-10 17:32:08,2022-02-10 17:34:09,anonymous,,Dansk,Nej,Ja,,,Ja,Nej,Familiært sprog,Kvinde,55-64,Kvinde
80,11,2022-02-10 17:38:50,2022-02-10 17:40:48,anonymous,,Dansk,Nej,Nej,Informationssøgning på Google,,Nej,Nej,Familiært sprog,Kvinde,45-54,Kvinde
81,11,2022-02-10 17:38:50,2022-02-10 17:40:48,anonymous,,Dansk,Nej,Nej,Informationssøgning på Wikipedia,,Nej,Nej,Familiært sprog,Kvinde,45-54,Kvinde
82,11,2022-02-10 17:38:50,2022-02-10 17:40:48,anonymous,,Dansk,Nej,Nej,Oversættelse til et valgfrit sprog (Google oversæt),,Nej,Nej,Familiært sprog,Kvinde,45-54,Kvinde
83,11,2022-02-10 17:38:50,2022-02-10 17:40:48,anonymous,,Dansk,Nej,Nej,Sende emails,,Nej,Nej,Familiært sprog,Kvinde,45-54,Kvinde
84,11,2022-02-10 17:38:50,2022-02-10 17:40:48,anonymous,,Dansk,Nej,Nej,Oprette notater / tekst filer som i dikterer,,Nej,Nej,Familiært sprog,Kvinde,45-54,Kvinde
85,11,2022-02-10 17:38:50,2022-02-10 17:40:48,anonymous,,Dansk,Nej,Nej,To-do liste,,Nej,Nej,Familiært sprog,Kvinde,45-54,Kvinde
86,11,2022-02-10 17:38:50,2022-02-10 17:40:48,anonymous,,Dansk,Nej,Nej,"""Fortæl mig en vittighed""",,Nej,Nej,Familiært sprog,Kvinde,45-54,Kvinde
87,11,2022-02-10 17:38:50,2022-02-10 17:40:48,anonymous,,Dansk,Nej,Nej,,,Nej,Nej,Familiært sprog,Kvinde,45-54,Kvinde
88,12,2022-02-10 17:41:00,2022-02-10 17:42:06,anonymous,,Dansk,Ja,Nej,Oversættelse til et valgfrit sprog (Google oversæt),,Ja,Ja,Familiært sprog,Ikke-binær,25-34,Kvinde
89,12,2022-02-10 17:41:00,2022-02-10 17:42:06,anonymous,,Dansk,Ja,Nej,Informationssøgning på Google,,Ja,Ja,Familiært sprog,Ikke-binær,25-34,Kvinde
90,12,2022-02-10 17:41:00,2022-02-10 17:42:06,anonymous,,Dansk,Ja,Nej,"""Fortæl mig en vittighed""",,Ja,Ja,Familiært sprog,Ikke-binær,25-34,Kvinde
91,12,2022-02-10 17:41:00,2022-02-10 17:42:06,anonymous,,Dansk,Ja,Nej,Matematiske beregninger,,Ja,Ja,Familiært sprog,Ikke-binær,25-34,Kvinde
92,12,2022-02-10 17:41:00,2022-02-10 17:42:06,anonymous,,Dansk,Ja,Nej,"Enhedskonvertering (valuta, vægt, osv.)",,Ja,Ja,Familiært sprog,Ikke-binær,25-34,Kvinde
93,12,2022-02-10 17:41:00,2022-02-10 17:42:06,anonymous,,Dansk,Ja,Nej,,,Ja,Ja,Familiært sprog,Ikke-binær,25-34,Kvinde
94,13,2022-02-10 17:41:43,2022-02-10 17:43:57,anonymous,,English (United States)‎,Ja,Ja,Informationssøgning på Google,Analysis of problems in my using the computer…,Ja,Ja,Familiært sprog,Ikke-binær,45-54,Mand
95,13,2022-02-10 17:41:43,2022-02-10 17:43:57,anonymous,,English (United States)‎,Ja,Ja,Informationssøgning på Wikipedia,Analysis of problems in my using the computer…,Ja,Ja,Familiært sprog,Ikke-binær,45-54,Mand
96,13,2022-02-10 17:41:43,2022-02-10 17:43:57,anonymous,,English (United States)‎,Ja,Ja,Oversættelse til et valgfrit sprog (Google oversæt),Analysis of problems in my using the computer…,Ja,Ja,Familiært sprog,Ikke-binær,45-54,Mand
97,13,2022-02-10 17:41:43,2022-02-10 17:43:57,anonymous,,English (United States)‎,Ja,Ja,Sende emails,Analysis of problems in my using the computer…,Ja,Ja,Familiært sprog,Ikke-binær,45-54,Mand
98,13,2022-02-10 17:41:43,2022-02-10 17:43:57,anonymous,,English (United States)‎,Ja,Ja,Oprette notater / tekst filer som i dikterer,Analysis of problems in my using the computer…,Ja,Ja,Familiært sprog,Ikke-binær,45-54,Mand
99,13,2022-02-10 17:41:43,2022-02-10 17:43:57,anonymous,,English (United States)‎,Ja,Ja,To-do liste,Analysis of problems in my using the computer…,Ja,Ja,Familiært sprog,Ikke-binær,45-54,Mand
100,13,2022-02-10 17:41:43,2022-02-10 17:43:57,anonymous,,English (United States)‎,Ja,Ja,Påmindelser (du vælger hvornår),Analysis of problems in my using the computer…,Ja,Ja,Familiært sprog,Ikke-binær,45-54,Mand
101,13,2022-02-10 17:41:43,2022-02-10 17:43:57,anonymous,,English (United States)‎,Ja,Ja,Vækkeur (præcis klokkeslæt),Analysis of problems in my using the computer…,Ja,Ja,Familiært sprog,Ikke-binær,45-54,Mand
102,13,2022-02-10 17:41:43,2022-02-10 17:43:57,anonymous,,English (United States)‎,Ja,Ja,Timer (om X minutter),Analysis of problems in my using the computer…,Ja,Ja,Familiært sprog,Ikke-binær,45-54,Mand
103,13,2022-02-10 17:41:43,2022-02-10 17:43:57,anonymous,,English (United States)‎,Ja,Ja,Dagens nyheder,Analysis of problems in my using the computer…,Ja,Ja,Familiært sprog,Ikke-binær,45-54,Mand
104,13,2022-02-10 17:41:43,2022-02-10 17:43:57,anonymous,,English (United States)‎,Ja,Ja,Åbner programmer på din desktop,Analysis of problems in my using the computer…,Ja,Ja,Familiært sprog,Ikke-binær,45-54,Mand
105,13,2022-02-10 17:41:43,2022-02-10 17:43:57,anonymous,,English (United States)‎,Ja,Ja,"Enhedskonvertering (valuta, vægt, osv.)",Analysis of problems in my using the computer…,Ja,Ja,Familiært sprog,Ikke-binær,45-54,Mand
106,13,2022-02-10 17:41:43,2022-02-10 17:43:57,anonymous,,English (United States)‎,Ja,Ja,,Analysis of problems in my using the computer…,Ja,Ja,Familiært sprog,Ikke-binær,45-54,Mand
107,14,2022-02-10 17:56:03,2022-02-10 17:57:41,anonymous,,Dansk,Nej,Nej,Informationssøgning på Google,,Ja,Nej,Familiært sprog,Mand,45-54,Kvinde
108,14,2022-02-10 17:56:03,2022-02-10 17:57:41,anonymous,,Dansk,Nej,Nej,Oversættelse til et valgfrit sprog (Google oversæt),,Ja,Nej,Familiært sprog,Mand,45-54,Kvinde
109,14,2022-02-10 17:56:03,2022-02-10 17:57:41,anonymous,,Dansk,Nej,Nej,,,Ja,Nej,Familiært sprog,Mand,45-54,Kvinde
110,15,2022-02-10 17:52:54,2022-02-10 17:57:49,anonymous,,Dansk,Nej,Ja,Informationssøgning på Google,"Oplæse kantinemenuen i Skolegade, En stemme der kan oplæse hvornår næste møde er, Lave kalender booking i Outlook kalender, ",Nej,Ja,Familiært sprog,Mand,45-54,Kvinde
111,15,2022-02-10 17:52:54,2022-02-10 17:57:49,anonymous,,Dansk,Nej,Ja,Sende emails,"Oplæse kantinemenuen i Skolegade, En stemme der kan oplæse hvornår næste møde er, Lave kalender booking i Outlook kalender, ",Nej,Ja,Familiært sprog,Mand,45-54,Kvinde
112,15,2022-02-10 17:52:54,2022-02-10 17:57:49,anonymous,,Dansk,Nej,Ja,Oplæse indkomne emails,"Oplæse kantinemenuen i Skolegade, En stemme der kan oplæse hvornår næste møde er, Lave kalender booking i Outlook kalender, ",Nej,Ja,Familiært sprog,Mand,45-54,Kvinde
113,15,2022-02-10 17:52:54,2022-02-10 17:57:49,anonymous,,Dansk,Nej,Ja,To-do liste,"Oplæse kantinemenuen i Skolegade, En stemme der kan oplæse hvornår næste møde er, Lave kalender booking i Outlook kalender, ",Nej,Ja,Familiært sprog,Mand,45-54,Kvinde
114,15,2022-02-10 17:52:54,2022-02-10 17:57:49,anonymous,,Dansk,Nej,Ja,Dagens nyheder,"Oplæse kantinemenuen i Skolegade, En stemme der kan oplæse hvornår næste møde er, Lave kalender booking i Outlook kalender, ",Nej,Ja,Familiært sprog,Mand,45-54,Kvinde
115,15,2022-02-10 17:52:54,2022-02-10 17:57:49,anonymous,,Dansk,Nej,Ja,Åbner programmer på din desktop,"Oplæse kantinemenuen i Skolegade, En stemme der kan oplæse hvornår næste møde er, Lave kalender booking i Outlook kalender, ",Nej,Ja,Familiært sprog,Mand,45-54,Kvinde
116,15,2022-02-10 17:52:54,2022-02-10 17:57:49,anonymous,,Dansk,Nej,Ja,"""Fortæl mig en vittighed""","Oplæse kantinemenuen i Skolegade, En stemme der kan oplæse hvornår næste møde er, Lave kalender booking i Outlook kalender, ",Nej,Ja,Familiært sprog,Mand,45-54,Kvinde
117,15,2022-02-10 17:52:54,2022-02-10 17:57:49,anonymous,,Dansk,Nej,Ja,,"Oplæse kantinemenuen i Skolegade, En stemme der kan oplæse hvornår næste møde er, Lave kalender booking i Outlook kalender, ",Nej,Ja,Familiært sprog,Mand,45-54,Kvinde
118,16,2022-02-10 17:56:08,2022-02-10 17:58:21,anonymous,,Dansk,Ja,Ja,Oversættelse til et valgfrit sprog (Google oversæt),,Nej,Ja,Formelt sprog,Ikke-binær,45-54,Kvinde
119,16,2022-02-10 17:56:08,2022-02-10 17:58:21,anonymous,,Dansk,Ja,Ja,Sende emails,,Nej,Ja,Formelt sprog,Ikke-binær,45-54,Kvinde
120,16,2022-02-10 17:56:08,2022-02-10 17:58:21,anonymous,,Dansk,Ja,Ja,Oplæse indkomne emails,,Nej,Ja,Formelt sprog,Ikke-binær,45-54,Kvinde
121,16,2022-02-10 17:56:08,2022-02-10 17:58:21,anonymous,,Dansk,Ja,Ja,Oprette notater / tekst filer som i dikterer,,Nej,Ja,Formelt sprog,Ikke-binær,45-54,Kvinde
122,16,2022-02-10 17:56:08,2022-02-10 17:58:21,anonymous,,Dansk,Ja,Ja,To-do liste,,Nej,Ja,Formelt sprog,Ikke-binær,45-54,Kvinde
123,16,2022-02-10 17:56:08,2022-02-10 17:58:21,anonymous,,Dansk,Ja,Ja,Påmindelser (du vælger hvornår),,Nej,Ja,Formelt sprog,Ikke-binær,45-54,Kvinde
124,16,2022-02-10 17:56:08,2022-02-10 17:58:21,anonymous,,Dansk,Ja,Ja,Matematiske beregninger,,Nej,Ja,Formelt sprog,Ikke-binær,45-54,Kvinde
125,16,2022-02-10 17:56:08,2022-02-10 17:58:21,anonymous,,Dansk,Ja,Ja,"Enhedskonvertering (valuta, vægt, osv.)",,Nej,Ja,Formelt sprog,Ikke-binær,45-54,Kvinde
126,16,2022-02-10 17:56:08,2022-02-10 17:58:21,anonymous,,Dansk,Ja,Ja,,,Nej,Ja,Formelt sprog,Ikke-binær,45-54,Kvinde
127,17,2022-02-10 18:08:13,2022-02-10 18:10:46,anonymous,,Dansk,Ja,Ja,Påmindelser (du vælger hvornår),,Ja,Nej,Familiært sprog,Kvinde,45-54,Kvinde
128,17,2022-02-10 18:08:13,2022-02-10 18:10:46,anonymous,,Dansk,Ja,Ja,To-do liste,,Ja,Nej,Familiært sprog,Kvinde,45-54,Kvinde
129,17,2022-02-10 18:08:13,2022-02-10 18:10:46,anonymous,,Dansk,Ja,Ja,Vækkeur (præcis klokkeslæt),,Ja,Nej,Familiært sprog,Kvinde,45-54,Kvinde
130,17,2022-02-10 18:08:13,2022-02-10 18:10:46,anonymous,,Dansk,Ja,Ja,Dagens nyheder,,Ja,Nej,Familiært sprog,Kvinde,45-54,Kvinde
131,17,2022-02-10 18:08:13,2022-02-10 18:10:46,anonymous,,Dansk,Ja,Ja,Oversættelse til et valgfrit sprog (Google oversæt),,Ja,Nej,Familiært sprog,Kvinde,45-54,Kvinde
132,17,2022-02-10 18:08:13,2022-02-10 18:10:46,anonymous,,Dansk,Ja,Ja,,,Ja,Nej,Familiært sprog,Kvinde,45-54,Kvinde
