index,text
21,"""Let me tell you the secret that has led me to my goal. My strength lies solely in my tenacity.""-- Louis Pasteur"
22,"""Everyone has a plan 'till they get punched in the mouth.""-- Mike Tyson"
23,"""Darkness cannot drive out darkness; only light can do that. Hate cannot drive out hate; only love can do that.""-- Martin Luther King, Jr."
24,"""Work hard and believe in yourself even when nobody else believes in you.""-- Richard Sherman"
25,"""I think happiness is overrated. Satisfied, at peace-those would be more realistic goals.""-- Brad Pitt"
26,"""What happens next is up to you.""-- Chris Sacca"
27,"""Normality is a paved road: It's comfortable to walk,? but no flowers grow on it.""-- Vincent Van Gogh"
28,"""I don't know what the future may hold, but I know who holds the future.""-- Ralph Abernathy"
29,"""You have to learn the rules to be able to know how to break them.""-- Keira Knightley"
30,"""It's a gift to exist, and with existence comes suffering. There's no escaping that.""-- Stephen Colbert"
31,"""All good ideas start out as bad ideas, that's why it takes so long.""-- Steven Spielberg"
32,"""Success is a lot like a bright, white tuxedo. You feel terrific when you get it, but then you're desperately afraid of getting it dirty, of spoiling it in any way.""-- Conan O'Brien"
33,"""If I can give myself credit for anything, it's that I do try to learn from the bad. I've never felt so sure that I'm in the right place doing what I'm supposed to be doing as I am right now.""-- Emma Roberts"
34,"""People who think they know everything are a great annoyance to those of us who do.""-- Isaac Asimov"
35,"""Fail fast. Fail often... The most talented people in the world have bad ideas. That's a good thing to learn.""-- Rashida Jones"
36,"""When you lose, talk little. When you win, talk less.""-- Tom Brady"
37,"""There is no limit to the amount of good you can do if you don't care who gets the credit.""-- Ronald Reagan"
38,"""Life's too short to hang out with people who aren't resourceful.""-- Jeff Bezos"
39,"""The beauty of love is that in giving it away, you are left with more than you had before.""-- David Simon"
40,"""My mother thinks I am the best. And I was raised to always believe what my mother tells me""-- Diego Maradona"
41,"""Success isn't determined by how many times you win, but by how you play the week after you lose.""-- Pele"
42,"""They say no matter how hard you work, there's always someone, somewhere working harder then you. Guess what.. I'm that someone""-- Kevin Garnett"
43,"""There is a thing about beauty. Beauty is always associated with the male fantasy of what the female body is. I don't think there is anything wrong with beauty. It's just what women think is beautiful can be different. And there can be a beauty in individualism. If there is a wart or a scar, this can be beautiful, in a sense, when you paint it.""-- Jenny Saville"
44,"""Positive thinking will let you do everything better than negative thinking will.""-- Zig Ziglar"
45,"""You can't teach anybody anything, only make them realize the answers are already inside them.""-- Galileo Galilei"
46,"""Ignore all hatred and criticism. Live for what you create, and die protecting it.""-- Lady Gaga"
47,"""One person can make a difference, and everyone should try.""-- John F. Kennedy"
48,"""If everything was perfect you would never learn and you would never grow.""-- Beyonce Knowles"
49,"""Grudges are a waste of perfect happiness. Laugh when you can. Apologize when you should and let go of what you can't change.""-- Drake"
50,"""I'm still learning. Hopefully I can keep getting better, and not stop where I am now.""-- Tim Duncan"
51,"""A pack of jackasses led by a lion is superior to a pack of lions led by a jackass.""-- George Washington"
52,"""I believe in everything until it's disproved. So I believe in fairies, the myths, dragons. It all exists, even if it's in your mind. Who's to say that dreams and nightmares aren't as real as the here and now?""-- John Lennon"
53,"""The minute you start caring about what other people think, is the minute you stop being yourself.""-- Meryl Streep"
54,"""Ultimately, you just have one life. You never know unless you try. And you never get anywhere unless you ask.""-- Kate Winslet"
55,"""Nothing in life is worthwhile unless it's kind of hard to get there.""-- Carli Lloyd"
56,"""I look for the day...when the only criterion of excellence or position shall be the ability and character of the individual; and this time will come.""-- Susan B. Anthony"
57,"""Most people ask questions because they want to know the answer; lawyers are trained never to ask questions unless they already know the answer.""-- Lani Guinier"
58,"""An easy way to get people to like you is to make them laugh.""-- Isla Fisher"
59,"""In life, winning and losing will both happen. What is never acceptable is quitting.""-- Magic Johnson"
60,"""If you love what you do and are willing to do what it takes, it's within your reach.""-- Steve Wozniak"
61,"""If you hear the dogs, keep going. If you see the torches in the woods, keep going. If there's shouting after you, keep going. Don't ever stop. Keep going. If you want a taste of freedom, keep going.""-- Harriet Tubman"
62,"""An intelligent investor gets satisfaction from the thought that his operations are exactly opposite to those of the crowd.""-- Benjamin Graham"
63,"""Nothing to me feels as good as laughing incredibly hard.""-- Steve Carell"
64,"""Anyone with two tunics should share with him who has none.""-- John the Baptist"
65,"""Faith and optimism come from love.""-- Maya Soetoro-Ng"
66,"""Use your fear... it can take you to the place where you store your courage.""-- Amelia Earhart"
67,"""If it wasn't hard, everyone would do it. It's the hard that makes it great.""-- Tom Hanks"
68,"""I get tired of myself pretty fast. So I can't imagine other people don't get tired of me.""-- Paul Giamatti"
69,"""Love is heaven and fear is hell. Where you place your attention is where you live.""-- Alan Cohen"
70,"""One doesn't discover new lands without consenting to lose sight, for a very long time, of the shore.""-- Andre Gide"
71,"""It took me a long time not to judge myself through someone else's eyes.""-- Sally Field"
72,"""We must learn and then teach our children that niceness does not equal goodness. Niceness is a decision, a strategy of social interaction; it is not a character trait. People seeking to control others almost always present the image of a nice person in the beginning.""-- Gavin de Becker"
73,"""You can overcome anything, if and only if you love something enough""-- Lionel Messi"
74,"""People think I'm an overnight success. No. It's just that you all found me overnight.""-- Leslie Jones"
75,"""You are the only one who gets to decide what you will be remembered for.""-- Taylor Swift"
76,"""It's always better to shock people and change people's expectations than to give them exactly what they think you can do.""-- Jonah Hill"
77,"""Good things come to obsessive compulsives who fixate.""-- Kieran Culkin"
78,"""Its unfortunate and I really wish I wouldn't have to say this, but I really like human beings who have suffered. They're kinder.""-- Emma Thompson"
79,"""You don't overcome challenges by making them smaller but by making yourself bigger.""-- John C. Maxwell"
80,"""This life is yours. Take the power to choose what you want to do and do it well. Take the power to love what you want in life and love it honestly. Take the power to walk in the forest and be a part of nature. Take the power to control your own life. No one else can do it for you. Take the power to make your life happy.""-- Susan Polis Schutz"
81,"""Sometimes your mistakes are you biggest virtues. You learn so much from the mistake. Those things that you think are the worst thing that's happening to you can somehow turn around and be the greatest opportunity.""-- Nicole Kidman"
82,"""You are on the eve of a complete victory. You can't go wrong. The world is behind you.""-- Josephine Baker"
83,"""We should always have three friends in our lives-one who walks ahead who we look up to and follow; one who walks beside us, who is with us every step of our journey; and then, one who we reach back for and bring along after we've cleared the way.""-- Michelle Obama"
84,"""Never let anyone define you. You are the only person who defines you. No one can speak for you. Only you speak for you. You are your only voice.""-- Terry Crews"
85,"""Grant me courage to serve others; For in service there is true life.""-- Cesar Chavez"
86,"""Improving yourself is a lot more profitable than trying to improve others.""-- Dale Carnegie"
87,"""It's just cool to be involved in something that's that big and joyous and meant to make people feel happy.""-- Andy Samberg"
88,"""If all I do in my life is soothe someone's spirit with a song , then let me do that and I'm happy.""-- Gladys Knight"
89,"""The fastest way to change yourself is to hang out with people who are already the way you want to be.""-- Reid Hoffman"
90,"""I felt that one had better die fighting against injustice than to die like a dog or rat in a trap. I had already determined to sell my life as dearly as possible if attacked. I felt if I could take one lyncher with me, this would even up the score a little bit.""-- Ida B. Wells"
91,"""Whenever I'm stuck in traffic, I can't help but wonder, 'Where did the creator of The Jetsons go, and why hasn't he done something about this?'""-- Jimmy Fallon"
92,"""It's just a job. Grass grows, birds fly, waves pound the sand. I beat people up.""-- Muhammad Ali"
93,"""I still believe that love is all you need. I don't know a better message than that.""-- Paul McCartney"
94,"""Take the opportunity to learn from your mistakes: find the cause of your problem and eliminate it. Don't try to be perfect; just be an excellent example of being human.""-- Tony Robbins"
95,"""To see we must forget the name of the thing we are looking at.""-- Claude Monet"
96,"""Right is right, even if no one else does it.""-- Juliette Gordon Low"
97,"""Don't confuse progress with winning.""-- Mary T. Barra"
98,"""The best way out is always through.""-- Robert Frost"
99,"""All I know is that when I needed McDonald's, McDonald's was there for me.""-- James Franco"
100,"""The worth of a life is not determined by a single failure or a solitary success.""-- Kevin Kline"
101,"""You're going to fall down, but the world doesn't care how many times you fall down, as long as it's one fewer than the numbers of times you get back up.""-- Aaron Sorkin"
102,"""Again, you can't connect the dots looking forward; you can only connect them looking backwards. So you have to trust that the dots will somehow connect in your future. You have to trust in something - your gut, destiny, life, karma, whatever. This approach has never let me down, and it has made all the difference in my life.""-- Steve Jobs"
103,"""Experience is simply the name we give our mistakes.""-- Oscar Wilde"
104,"""Whatever you do, always give 100%. Unless you're donating blood.""-- Bill Murray"
105,"""Take wrong turns. Talk to strangers. Open unmarked doors. And if you see a group of people in a field, go find out what they are doing. Do things without always knowing how they'll turn out.""-- Randall Munroe"
106,"""God loves us beyond comprehension, and we cannot diminish God's love for us.""-- Saint Peter"
107,"""The only way to win is to learn faster than anyone else.""-- Eric Ries"
108,"""Start by doing what's necessary; then do what's possible; and suddenly you are doing the impossible.""-- Francis of Assisi"
109,"""No failure means no risk, which means nothing new""-- Richard Branson"
110,"""Life is about making mistakes. Death is about wishing you made more.""-- Jennifer Aniston"
111,"""Be who you are and say what you feel because those who mind don't matter and those who matter don't mind. Don't cry because it's over. Smile because it happened.""-- Dr. Seuss"
112,"""I would like to show the world today as an ant sees it and tomorrow as the moon sees it.""-- Hannah Hoch"
113,"""A successful man is one who can lay a firm foundation with the bricks others have thrown at him.""-- David Brinkley"
114,"""My soul is that of a drummer.... I didn't do it to become rich and famous. I did it because it was the love of my life.""-- Ringo Starr"
115,"""If you're ever if you're ever thinking, ""Oh, but I'm a waste of space and I'm a burden,"" remember: that also describes the Grand Canyon. Why don't you have friends and family take pictures of you from a safe distance? Revel in your majestic profile?""-- Maria Bamford"
116,"""If you're too rigid in your thinking you may miss some wonderful opportunities for storytelling.""-- Vince Gilligan"
117,"""I believe ambition is not a dirty word. It's just believing in yourself and your abilities. Imagine this: What would happen if we were all brave enough to be a little bit more ambitious? I think the world would change.""-- Reese Witherspoon"
118,"""It isn't hard to be good from time to time in sports. What is tough, is being good every day.""-- Willie Mays"
119,"""Practice what you know, and it will help to make clear what now you do not know.""-- Rembrandt"
120,"""If you know exactly what you want to be, you need to spend as much time as possible with people who are actually that already.""-- Gary Vaynerchuk"
121,"""I say that the most liberating thing about beauty is realizing that you are the beholder.""-- Salma Hayek"
122,"""Those who matter don't mind, and those who mind don't matter.""-- Bernard Baruch"
123,"""If you can't fail, you can never get better.""-- Benedict Cumberbatch"
124,"""Being polite and grateful will make people more inclined to help you. And if people are willing to help you, you may accidentally get something you want.""-- Jason Sudeikis"
125,"""When sitting in meditation, say, That's not my business!"" with every thought that comes by.""-- Ajahn Chah"
126,"""When you're an outsider or a misfit, if you play it smart, your motto should be, 'I'll show 'em. I will show you.'""-- Wendy Williams"
127,"""Life always offers you a second chance. is called tomorrow.""-- Dylan Thomas"
128,"""A book can change the world... Every book a child reads creates new neurons in that child's brain.""-- Jackie French"
129,"""The greatest danger in times of turbulence is not the turbulence; it is to act with yesterday's logic.""-- Peter Drucker"
130,"""The big money is not in the buying and selling ... but in the waiting.""-- Charlie Munger"
131,"""What we fear doing most is usually what we most need to do.""-- Tim Ferriss"
132,"""If you feel safe in the area you're working in, you're not working in the right area. Always go a little further into the water than you feel you're capable of being in. Go a little bit out of your depth. And when you don't feel that your feet are quite touching the bottom, you're just about in the right place to do something exciting.""-- David Bowie"
133,"""Take a stand for what's right. Raise a ruckus and make a change. You may not always be popular, but you'll be part of something larger and bigger and greater than yourself. Besides, making history is extremely cool.""-- Samuel L. Jackson"
134,"""Whatever you do, don't wake up at 65 years old and think about what you should have done with your life.""-- George Clooney"
135,"""Understand well as I may, my comprehension can only be an infinitesimal fraction of all I want to understand.""-- Ada Lovelace"
136,"""The early bird gets the worm, but the second mouse gets the cheese""-- Steven Wright"
137,"""Best things in life aren't things.""-- Mike Ness"
138,"""The world is full of wonderful things you haven't seen yet. Don't ever give up on the chance of seeing them.""-- J. K. Rowling"
139,"""Empty your mind, be formless. Shapeless, like water. If you put water into a cup, it becomes the cup. You put water into a bottle and it becomes the bottle. You put it in a teapot it becomes the teapot. Now, water can flow or it can crash. Be water, my friend.""-- Bruce Lee"
140,"""Expecting the world to treat you fairly because you are a good person is a little like expecting the bull not to attack you because you are a vegetarian.""-- Dennis Wholey"
141,"""You'll always make mistakes and you'll miss the mark sometimes. That's inevitably going to happen, because the best people in the world make mistakes - even people who are brilliant.""-- James Corden"
142,"""Be your own leader, be your own self, step out of my shadows and be your own person.""-- Snoop Dogg"
143,"""Be like a duck. Calm on the surface, but always paddling like the dickens underneath.""-- Michael Caine"
144,"""If you feel rooted in your home and family, if you're active in your community, there's nothing more empowering. The best way to make a difference in the world is to start by making a difference in your own life.""-- Julia Louis-Dreyfus"
145,"""If you are not doing what you love, you are wasting your time.""-- Billy Joel"
146,"""The world promises you comfort, but you were not made for comfort. You were made for greatness.""-- Pope Benedict XVI"
147,"""An essential element of any art is risk. If you don't take a risk then how are you going to make something really beautiful, that hasn't been seen before?""-- Francis Ford Coppola"
148,"""When you walk up to opportunity's door, don't knock it... Kick that B*tch in, smile and introduce yourself""-- Dwayne Johnson"
149,"""When we are no longer able to change a situation - we are challenged to change ourselves.""-- Viktor E. Frankl"
150,"""When you abandon freedom to achieve security, you lose both and deserve neither.""-- Thomas Jefferson"
151,"""It's your outlook on life that counts. If you take yourself lightly and don't take yourself too seriously, pretty soon you can find the humor in our everyday lives. And sometimes it can be a lifesaver.""-- Betty White"
152,"""It's beautiful when you watch something good happen to somebody when it's well deserved.""-- Jennifer Lawrence"
153,"""Winning is not everything, but wanting to win is.""-- Vince Lombardi"
154,"""It's a hard, lonely feeling, to be completely yourself in front of strangers.""-- Michael Che"
155,"""The only regrets I have are rather prosaic - like I wish I went for a swim in the Pacific.""-- Paul Allen"
156,"""Teach the children so it will not be necessary to teach the adults.""-- Abraham Lincoln"
157,"""You're never going to learn something as profoundly as when it's purely out of curiosity""-- Christopher Nolan"
158,"""It is easier to build strong children than to repair broken men.""-- Frederick Douglass"
159,"""The secret of success is... to be fully awake to everything about you.""-- Jackson Pollock"
160,"""The life you have led doesn't need to be the only life you have.""-- Anna Quindlen"
161,"""Goals live on the other side of obstacles and challenges. Be relentless in pursuit of those goals, especially in the face of obstacles. Along the way, make no excuses and place no blame.""-- Ray Bourque"
162,"""Noble deeds that are concealed are most esteemed.""-- Blaise Pascal"
163,"""To be a Christian means to forgive the inexcusable because God has forgiven the inexcusable in you.""-- C. S. Lewis"
164,"""All roads lead home in the end. You've got to keep that in mind always - in your work and in your life.""-- Chiwetel Ejiofor"
165,"""An innovation will get traction only if it helps people get something that they're already doing in their lives done better.""-- Clayton Christensen"
166,"""All the breaks you need in life wait within your imagination, Imagination is the workshop of your mind, capable of turning mind energy into accomplishment and wealth.""-- Napoleon Hill"
167,"""I didn't like the idea of being foolish, but I learned pretty soon that it was essential to fail and be foolish.""-- Daniel Day-Lewis"
168,"""Sometimes your joy is the source of your smile, but sometimes your smile can be the source of your joy.""-- Nhat Hanh"
169,"""An important attribute of success is to be yourself. Never hide what makes you, you.""-- Indra Nooyi"
170,"""No matter who you are, no matter what you did, no matter where you've come from, you can always change, become a better version of yourself.""-- Madonna Ciccone"
171,"""It's easy to fool the eye but it's hard to fool the heart.""-- Al Pacino"
172,"""It's not always enough to be brave, I realized years later. You have to be brave and contribute something positive, too. Brave on its own is just a party trick.""-- B. J. Novak"
173,"""Don't follow in any footprints, make your own prints. Because, you are the future of tomorrow.""-- Jackie Joyner-Kersee"
174,"""Don't judge the picture by the frame, every man is not the same""-- Elton John"
175,"""Be passionate and bold. Always keep learning. You stop doing useful things if you don't learn.""-- Satya Nadella"
176,"""Troubles are often the tools by which God fashions us for better things.""-- Henry Ward Beecher"
177,"""Success is not about who never fails. It is about who can spring - or even stagger - back up.""-- Samantha Power"
178,"""If you're going through hell, keep going.""-- Winston Churchill"
179,"""It's better for people to miss you than to have seen too much of you.""-- Edward Norton"
180,"""If you look around the room, and you're the smartest person in the room, you're in the wrong room.""-- Lorne Michaels"
181,"""Be more concerned with your character than your reputation, because your character is what you really are, while your reputation is merely what others think you are.""-- John Wooden"
182,"""There can be no greater gift than that of giving one's time and energy to help others without expecting anything in return.""-- Nelson Mandela"
183,"""Change will not come if we wait for some other person or some other time. We are the ones we've been waiting for. We are the change that we seek.""-- Barack Obama"
184,"""I always prefer to believe the best of everybody, it saves so much trouble.""-- Rudyard Kipling"
185,"""If you don't take the time to get really clear about exactly what it is you're trying to accomplish, then you're forever doomed to spend your life achieving the goals of those who do.""-- Steve Pavlina"
186,"""I have just three things to teach: simplicity, patience, compassion. These three are your greatest treasures.""-- Laozi"
187,"""I would rather five people knew my work and thought it was good work than five million knew me and were indifferent.""-- Colin Firth"
188,"""To bring about change, you must not be afraid to take the first step. We will fail when we fail to try.""-- Rosa Parks"
189,"""In the startup world, you're either a genius or an idiot. You're never just an ordinary guy trying to get through the day""-- Marc Andreessen"
190,"""You can't master your future if you're still a slave to your past.""-- Rihanna"
191,"""Cutting negative people from my life does not mean I hate them, it simply means I respect me.""-- Marilyn Monroe"
192,"""I don't associate with people who blame the world for their problems. You are your problem. You are also your solution.""-- Melissa McCarthy"
193,"""It's easy to do nothing, but your heart breaks a little more every time you do.""-- Mark Ruffalo"
194,"""I feel like if it's not scaring you, you're doing it wrong.""-- Anna Kendrick"
195,"""It is never too late, no matter how old you get because anytime or any point in your life you can always have a chance to make a difference. You can always make a change for the better no matter what background you derived from. You can always do your best and be all that you can be because you will always be uniquely you. It is why it is always wise to listen to your eternal heart, your eternal instincts, and what it had always strove for and/or to do because really anybody can make a difference not only in their own lives but in the lives of others. It is never too late to shine; never.""-- George Eliot"
196,"""The world can be better if there's love, tolerance and humility.""-- Irena Sendler"
197,"""True terror is to wake up one morning and discover that your high school class is running the country.""-- Kurt Vonnegut"
198,"""People who say it cannot be done should not interrupt those who are doing it.""-- George Bernard Shaw"
199,"""Our heart knows what our mind has forgotten - it knows the sacred that is within all that exists, and through a depth of feeling we can once again experience this connection, this belonging.""-- Llewellyn Vaughan-Lee"
200,"""Leadership consists of nothing but taking responsibility for everything that goes wrong and giving your subordinates credit for everything that goes well.""-- Dwight D. Eisenhower"
201,"""There's no such thing as simple. Simple is hard.""-- Martin Scorsese"
202,"""Either America will destroy ignorance or ignorance will destroy the United States.""-- W. E. B. Du Bois"
203,"""You were born with everything you need to answer the call of your soul.""-- Marie Forleo"
204,"""Don't waste your time chasing butterflies. Mend your garden, and the butterflies will come.""-- Mario Quintana"
205,"""You don't drown by falling in the water; you drown by staying there.""-- Edwin Louis Cole"
206,"""Entrepreneur is not a job title. It is a state of mind of people who want to alter the future.""-- Guy Kawasaki"
207,"""If you constantly think of illness, you eventually become ill; if you believe yourself to be beautiful, you become so.""-- Shakti Gawain"
208,"""If a guy doesn't like a funny girl, something is wrong with him.""-- Bill Hader"
209,"""You build on failure. You use it as a stepping stone. Close the door on the past. You don't try to forget the mistakes, but you don't dwell on it. You don't let it have any of your energy, or any of your time, or any of your space.""-- Johnny Cash"
210,"""Fear is an insidious and deadly thing. It can warp judgment, freeze reflexes, breed mistakes. Worse, it's contagious.""-- James Stewart"
211,"""Be so good they can't ignore you.""-- Steve Martin"
212,"""Anti-social behavior is a trait of intelligence in a world full of conformists.""-- Nikola Tesla"
213,"""Set your goals high, and don't stop till you get there.""-- Bo Jackson"
214,"""My pain may be the reason for somebody's laugh. But my laugh must never be the reason for somebody's pain.""-- Charlie Chaplin"
215,"""Success, they taught me, is built on the foundation of courage, hard-work and individual responsibility. Despite what some would have us believe, success is not built on resentment and fears.""-- Susana Martinez"
216,"""Doubt is a killer. You just have to know who you are and what you stand for.""-- Jennifer Lopez"
217,"""Never let anyone try and make you into something that you're not. Remember what it is that you want, and always stay strong in that.""-- Abigail Breslin"
218,"""Working hard is important. But there is something that matters even more, believing in yourself.""-- Daniel Radcliffe"
219,"""If you don't get out of the box you've been raised in, you won't understand how much bigger the world is.""-- Angelina Jolie"
220,"""Men give me credit for some genius. All the genius I have lies in this; when I have a subject in hand, I study it profoundly. Day and night it is before me. My mind becomes pervaded with it. Then the effort that I have made is what people are pleased to call the fruit of genius. It is the fruit of labor and thought.""-- Alexander Hamilton"
221,"""The greatest lesson that I learned in all of this is that you have to start. Start now, start here, and start small. Keep it Simple.""-- Jack Dorsey"
222,"""I am not in competition with anyone but myself. My goal is to improve myself continuously.""-- Bill Gates"
223,"""Failure: Is it a limitation? Bad timing? It's a lot of things. It's something you can't be afraid of, because you'll stop growing. The next step beyond failure could be your biggest success in life.""-- Debbie Allen"
224,"""It's a good place when all you have is hope and not expectations.""-- Danny Boyle"
225,"""The trouble is not in dying for a friend, but in finding a friend worth dying for.""-- Mark Twain"
226,"""Forget about style; worry about results.""-- Bobby Orr"
227,"""You have chosen the wrong path if it's not fun. And you are probably not taking enough risk if it's not hard and rocky sometimes.""-- Marc Benioff"
228,"""I'm so secretive that when someone asks me, Hey, can you keep a secret? I say, 'That's none of your business.'""-- Demetri Martin"
229,"""The greatest test of courage on earth is to bear defeat without losing heart.""-- Robert Green Ingersoll"
230,"""I don't think something is a failure if you put your all into it. I'm a big fan of the saying, Nothing beats a failure but a try.""-- Regina King"
231,"""There are those that look at things the way they are, and ask why? I dream of things that never were, and ask why not?""-- Robert Kennedy"
232,"""Wanting to be someone else is a waste of who you are""-- Kurt Cobain"
233,"""If you don't fall how are you going to know what getting up is like.""-- Stephen Curry"
234,"""Don't write what you think people want to read. Find your voice and write about what's in your heart.""-- Quentin Tarantino"
235,"""There are two days in the year that we can not do anything, yesterday and tomorrow""-- Mahatma Gandhi"
236,"""Too many of us are not living our dreams because we are living our fears.""-- Les Brown"
237,"""Don't let life discourage you; everyone who got where he is had to begin where he was.""-- Richard L. Evans"
238,"""If you know you are going to fail, then fail gloriously.""-- Cate Blanchett"
239,"""There's nothing you can do that's more important than being fulfilled. You become a sign, you become a signal, transparent to transcendence; in this way, you will find, live, and become a realization of your own personal myth.""-- Joseph Campbell"
240,"""To love means loving the unlovable. To forgive means pardoning the unpardonable. Faith means believing the unbelievable. Hope means hoping when everything seems hopeless.""-- Gilbert K. Chesterton"
241,"""Learn to embrace your own unique beauty, celebrate your unique gifts with confidence. Your imperfections are actually a gift.""-- Kerry Washington"
242,"""Whatever you do, do it completely. Don't do it half-arsed. Do it more than anybody else would.""-- Christian Bale"
243,"""I've always been about honesty, whether on the radio, whether I did a movie, whether I wrote a book. As long as you're honest, you don't lose your edge.""-- Howard Stern"
244,"""A wise man can play the part of a clown, but a clown can't play the part of a wise man.""-- Malcolm X"
245,"""Promise me you'll always remember: You're braver than you believe, and stronger than you seem, and smarter than you think.""-- A. A. Milne"
246,"""Only the weak are cruel. Gentleness can only be expected from the strong.""-- Leo Buscaglia"
247,"""You can't always get what you want, but if you try sometimes, you might find, you get what you need.""-- Mick Jagger"
248,"""Live your life as an Exclamation rather than an Explanation""-- Isaac Newton"
249,"""Don't believe everything you think. You cannot be trusted to tell yourself the truth. Stay in The Word.""-- Jerry Bridges"
250,"""Give me a place to stand, and a lever long enough, and I will move the world.""-- Archimedes"
251,"""Normal is not something to aspire to, it's something to get away from.""-- Jodie Foster"
252,"""Once you replace negative thoughts with positive ones, you'll start having positive results.""-- Willie Nelson"
253,"""The day I stop giving is the day I stop receiving. The day I stop learning is the day I stop growing. You miss 100% of the shots you don't take.""-- Wayne Gretzky"
254,"""Well done is better than well said.""-- Benjamin Franklin"
255,"""All great ideas start as weird ideas. What now seems obvious, early on, is not obvious to anybody.""-- Steve Case"
256,"""The one thing you're most reluctant to tell. That's where the comedy is.""-- Mike Birbiglia"
257,"""The meaning of life is to find your gift. The purpose of life is to give it away.""-- Pablo Picasso"
258,"""The important word there is inspire. The key difference between managers and leaders is that managers tell people what to do, while leaders inspire them to do it. Inspiration comes from three things: clarity of one's vision, courage of their conviction and the ability to effectively communicate both of those things.""-- Jeff Weiner"
259,"""What good is success if you're not willing to share it?""-- Karl Malone"
260,"""I really think a champion is defined not by their wins but by how they can recover when they fall""-- Serena Williams"
261,"""Sometimes all you need is 20 seconds of insane courage""-- Matt Damon"
262,"""The things that scare you only make you better and stronger.""-- Octavia Spencer"
263,"""Nothing great was ever achieved without enthusiasm.""-- Ralph Waldo Emerson"
264,"""I always tried to turn every disaster into an opportunity.""-- John D. Rockefeller"
265,"""Beauty begins the moment you decide to be yourself.""-- Coco Chanel"
266,"""Criticism is something we can avoid easily by saying nothing, doing nothing, and being nothing.""-- Aristotle"
267,"""My father gave me the greatest gift anyone could give another person, he believed in me.""-- Jim Valvano"
268,"""Life doesn't run away from nobody. Life runs at people.""-- Joe Frazier"
269,"""When you are not willing to fully receive, you are training the universe not to give to you! It's simple: if you aren't willing to receive your share, it will go to someone else who is.""-- T. Harv Eker"
270,"""Average talent, plus hard work and dedication, will always beat talent by itself.""-- Clinton Anderson"
271,"""Economics is like the Dutch language - I'm told it makes sense, but I have my doubts.""-- John Oliver"
272,"""You are a Universe of Universes And your Soul a source of Songs.""-- Ruben Dario"
273,"""When the whole world is silent, even one voice becomes powerful.""-- Malala Yousafzai"
274,"""Failure is a badge of honor. It means you risked failure. And if you don't risk failure, you're never going to do anything that's different from what you've already done or what somebody else has done.""-- Charlie Kaufman"
275,"""Do as much homework as you can. Learn everybody's job and don't just settle.""-- Michael B. Jordan"
276,"""The essence of strategy is choosing what not to do.""-- Michael Porter"
277,"""Connect deeply with others. Our humanity is the one thing that we all have in common.""-- Melinda Gates"
278,"""Your mind will give back to you exactly what you put into it.""-- James Joyce"
279,"""God doesn't require us to succeed, he only requires that you try.""-- Mother Teresa"
280,"""Pressure is a privilege - it only comes to those who earn it.""-- Billie Jean King"
281,"""We're dead as a species if we don't tell stories, because then we don't know who we are.""-- Alan Rickman"
282,"""Then, one day, when you least expect it, the great adventure finds you.""-- Ewan McGregor"
283,"""Keep your head up in failure and your head down in success.""-- Jerry Seinfeld"
284,"""The best investment you can make, is an investment in yourself... The more you learn, the more you'll earn.""-- Warren Buffett"
285,"""No one has ever become poor by giving.""-- Anne Frank"
